,BlockHeight,Timestamp,Transactions,InternalTransactions,MinerAddr,BlockInterval,BlockReward,UnclesReward,Difficulty,TotalDifficulty,Size,UnclesNum,GasUsed,GasUsedRate,GasTargetRate,GasLimit,BaseFeePerGasEther,BaseFeePerGasGwei,BurntFeesEther,ExtraData,ExtraDataHex,Hash,ParentHash,Sha3Uncles,StateRoot,Nonce,StaticBlockReward,TxnFees,BurntFees
0,15338100,1660429120,323,149,Ethermine,1,2.095637628442537731,0,12105255476498459,56322939669458680178477,175005,0,29983390,0.9994,0,29999972,0.00000000282900342,2.82900342,0.0848231128531938,us-east-8 ,0x75732d656173742d38,0xd938807c03e32e45ee0e28038b5e30f1200281b4e4914acc1bf6997753165f24,0xa5eef7c6d5247bac6c27e9e445844a48486b82e4a7c2eaac8926b7c21d612741,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0x5701f49efbb15a5cc93ab03e71c9e0435c3c66f7509a813ab62f0f35d4899f98,0x5fe35ac18c3055a8,2,0.180460741295731531,0.0848231128531938
1,15338101,1660429152,223,77,Hiveon,32,2.040788361415269491,0,12093571376900663,56322951763030057079140,238015,0,29999693,0.10000,0,30000000,0.000000003182237926,3.182237926,0.095466160832956718,Hiveon hk-`ss ,0x486976656f6e20686b2d607373,0x07ad833de6c5f2fb8a078a8e7466aa9cdb94f0b1566e7bf44d185beedee408d3,0xd938807c03e32e45ee0e28038b5e30f1200281b4e4914acc1bf6997753165f24,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0xe91724690dcb9571b469f04266296c4a8fd5d41a725ca0a60b9c1213c02cb243,0xeb2ebf7e47357773,2,0.136254522248226209,0.095466160832956718
2,15338102,1660429163,28,8,2Miners:,11,2.004769774548070733,0,12093708815854135,56322963856738872933275,9683,0,1990709,0.664,0,30000000,0.000000003580009525,3.580009525,0.007126757181503225,EthereumPPLNS/2miners_EU6 ,0x457468657265756d50504c4e532f326d696e6572735f455536,0xe44d5ffc5e651a7e804c1e50deb3e587cf6f3410547f5aa060405d770b81b226,0x07ad833de6c5f2fb8a078a8e7466aa9cdb94f0b1566e7bf44d185beedee408d3,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0xd34231354283efb34925bcfa385bf6999a67a9744ba8318acefebd840dbdfa46,0xba12570f7450dafc,2,0.011896531729573958,0.007126757181503225
3,15338103,1660429165,127,53,Hiveon,2,2.018012347821510741,0,12099751386065348,56322975956490258998623,67799,0,12706463,0.4235,0,30000000,0.000000003191897978,3.191897978,0.040557733557231814,Hiveon ca-heavy-nlw ,0x486976656f6e2063612d68656176792d6e6c77,0xf1013b32642aa87fb01f0bc639d1b13021642e089fe18c933a3c7f8ef3be6c03,0xe44d5ffc5e651a7e804c1e50deb3e587cf6f3410547f5aa060405d770b81b226,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0x672e157954ec85f3b62c7d13ed0e5b19f9c85665cccc9b4c5c92f34e0e76825b,0x7fe180deca2a4b5a,2,0.058570081378742555,0.040557733557231814
4,15338104,1660429172,41,17,Nanopool,7,2.007009537949467946,0,12105796906750297,56322988062287165748920,16616,0,4362425,0.1454,0,30000000,0.000000003130891844,3.130891844,0.0136582808525617,nanopool.org ,0x6e616e6f706f6f6c2e6f7267,0x96189e1eb2c93591d24162ca3d76c37b576818e2f216e1cdd7eb6a29c77b1b33,0xf1013b32642aa87fb01f0bc639d1b13021642e089fe18c933a3c7f8ef3be6c03,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0xe80c16ddecf83443dd003c78abce923b6b95a1aff38ba9e249bdfdee838aeba8,0xb3d72c0001c111e8,2,0.020667818802029646,0.0136582808525617
5,15338105,1660429178,11,6,Hiveon,6,2.006361588328352661,0,12111845379349643,56323000174132545098563,8164,0,1748098,0.583,0,30000000,0.000000002853349371,2.853349371,0.004987934328746358,Hiveon eu-heavy-yst ,0x486976656f6e2065752d68656176792d797374,0x1c46f66192f91f318c8656fb52bf65d02e49c4e40050d4165b12f475db251873,0x96189e1eb2c93591d24162ca3d76c37b576818e2f216e1cdd7eb6a29c77b1b33,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0x3143e6f3e0c3f071b24a6876bd4e1fd1a5a12290afdcfacb4bb4653ed068c0e4,0xa7c56aa8ab18ecdb,2,0.011349522657099019,0.004987934328746358
6,15338106,1660429179,109,55,Miner:,1,2.033580212259710763,0,12117896805304750,56323012292029350403313,67106,0,15292424,0.5093,0,30029295,0.00000000253824682,2.53824682,0.03881594658809168,4hash GmbH ,0x346861736820476d6248,0x9c689ad8faacb157b6389b747a75db5e30e2b482e39c736e36643d00a9260781,0x1c46f66192f91f318c8656fb52bf65d02e49c4e40050d4165b12f475db251873,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0x0504bc4127ccccbf34fe46250b16c892ad8fbc227282dd2aadcac198e647748d,0x7dda5d885568d1fb,2,0.072396158847802443,0.03881594658809168
7,15338107,1660429187,860,55,Ethermine,8,2.028408041865127937,0,12123951186057687,56323024415980536461000,139650,0,29982287,0.9994,0,30000000,0.000000002544116643,2.544116643,0.076278435351902541,asia-east2-45pg ,0x617369612d65617374322d34357067,0x71e97d40ea29ae5f08cfeac57939da11dc081b7118be752d8cbdd04cd5217584,0x9c689ad8faacb157b6389b747a75db5e30e2b482e39c736e36643d00a9260781,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0xda0d047d80a42c3e7edd82ff2c9feae7c8bd65be121ebc12c8d56c86ae5f7720,0xe23939283e6f33e4,2,0.104686477217030478,0.076278435351902541
8,15338108,1660429194,288,122,F2Pool,7,2.068353887700086565,0,12130008523051226,56323036545989059512226,104466,0,25890607,0.8630,0,30000000,0.00000000286175569,2.86175569,0.07409259189980383,七彩神仙鱼F6! ,0xe4b883e5bda9e7a59ee4bb99e9b1bc463621,0x994a21f0e0bc4d0e4992c8f6da38d6cba071d1ea6243bbd5fd47613e21c024e4,0x71e97d40ea29ae5f08cfeac57939da11dc081b7118be752d8cbdd04cd5217584,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0x21ac016f3bd234813b238ab44a28c2362a6f42c018b8b4974db1065d4b4bb89a,0x1a7e0676be350717,2,0.142446479599890395,0.07409259189980383
9,15338109,1660429218,25,14,Poolin,24,2.005051196901850126,0,12124223106280552,56323048670212165792778,8692,0,2351305,0.785,0,29970705,0.000000003121474494,3.121474494,0.00733953858511467,poolin.com!����K� ,0x706f6f6c696e2e636f6d218c11bcca10be4b9b,0x2caa771354abfa6da069357bb50223e147448509d42678210a8170e08ef44ee0,0x994a21f0e0bc4d0e4992c8f6da38d6cba071d1ea6243bbd5fd47613e21c024e4,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0x9579650ba8bd4a417beedaafbe5a17558a408e58bcf6d83b3672b91108d17381,0xf381ddbaa4d2a209,2,0.012390735486964796,0.00733953858511467
